name,party,votes,constituency
Prakashman Singh,Nepali Congress,7143,1
Rabindra Mishra,Rastriya Prajatantra Party,7018,1
Pukar Bam,Rastriya Swatantra Party,4115,1
Kiran Poudel,CPN UML,3532,1
Ramesh Prasad Kharel,Nepal Sushashan Party Nepal,3124,1
Balkrishna Neupane,Nepalka Lagi Nepali Party,590,1
Dambar Shahu,Hamro Nepali Party,150,1
Surendra Prasad Dhakal,CPN Maxist Leninist,92,1
Risham Bhattarai,Nepali Congress (BP),76,1
Hari Sharan Shrestha,Nepal Workers and Peasants Party,50,1
Sangita Bogati,Independent,36,1
Shankar Banjade,Bibeksheel Sajha Party,30,1
Prakash Shrestha,Maulik Jarokilo Party,23,1
Prakash Nayaju,Loktantrik Samajwadi Party,22,1
Harendra Choudhary,Janamat Party,22,1
Kul Bahadur Tamang,Independent,20,1
Kiran Kumar Sharma Paudel,Nepalwad,19,1
Indra Bahadur Thapa,Nationalist Peoples Party,18,1
Shanti Devi KC,Rastriya Prajatantra Party Nepal,17,1
Man Bahadur Rai,Rastriya Janamukti Party,16,1
Goma Khatiwada Adhikari,Independent,12,1
Manita Shrestha,Janasamajwadi Party Nepal,8,1
Hari Kumar Ghale,Aamul Pariwartan Mashika Party,7,1
Manju Rana Magar,Sanghiya Loktantrik Rastriya Manch,6,1
Sunita Basel,Independent,5,1
Meera Bista,Independent,3,1
Dev Sharma,Independent,3,1
Sita Tamang KC,Independent,3,1
Nirjal Shah,Independent,2,1
Sangita Rajbahak,Independent,2,1
Khumkala Lamichhane,Independent,1,1
Durga Prasad Limbu,Independent,1,1
Sobita Gautam,Rastriya Swatantra Party,15229,2
Maniram Phuyal,CPN UML,11555,2
Kanti Devi Pokharel,Rastriya Prajatantra Party,11014,2
Onsari Gharti,CPN Maoist,9449,2
Punya Prasad Prasai,Sachet Nepali Party,441,2
Koshraj Subedi,Hamro Nepali Party,254,2
Dhanesh Thapa,Bibeksheel Sajha Party,161,2
Kashiraj Pudasaini,Independent,120,2
Anup Bahadur,Independent,119,2
Krishnaram Puri,Independent,93,2
Ganesh Prasad Pudasaini,Janamat Party,88,2
Anil Shrestha,Nepal Workers and Peasants Party,81,2
Gopal Bahadur Tandukar,Janata Samajwadi Party,52,2
Prakash Adhikari,Independent,50,2
Bijendra Basnet,Punarjagaran Party Nepal,40,2
Ram Madi Nepal,Nepalka Lagi Nepali Party,26,2
Manusudhan Pudasaini,Loktantrik Samajwadi Party,25,2
Ishwor Gatuam,Nepalwad,20,2
Mahesh Bastola,Rastriya Prajatantra Party Nepal,18,2
Balram Chaulagai,Independent,16,2
Hem Bikram Silwal,Nepali Congress (BP),15,2
Sita Tamang,Mangol National Organization,14,2
Laxman Pokherel,Maulik Jarokilo Party,13,2
Chiranjivi Rai,Rastriya Janamukti Party,13,2
Bhagwati Dhakal,Independent,7,2
Binod Prasad Ghimere,Independent,6,2
Dinesh Khadka,Independent,6,2
Bidur Prasad Simkhada,Gandhiwadi Party Nepal,3,2
Prakash Adhikari,Independent,3,2
Krishna Adhikari,Independent,2,2
Santosh Chalise,Nepali Congress,15158,3
Krishna Bahadur Rai,CPN UML,11196,3
Durga Bikram Thapa Chettri,Rastriya Swatantra Party,5865,3
Ganesh Giri,Rastriya Prajatantra Party,2511,3
Niranjan Pudasaini,Independent,605,3
Dwarika Adhikari,Hamro Nepali Party,547,3
Badri Prasad Bhajgai,CPN Maoist,518,3
