name,party,votes,constituency
Krishna Gopal Shrestha,CPN UML,11956,9
Tek Bahadur Pokheral,Rastriya Swatantra Party,10961,9
Kalpana Dhamal,CPN Maoist,6402,9
Devendra Pradhan,Rastriya Prajatantra Party,4785,9
Milan Pandey,Sajha Party Nepal,2327,9
Iresh Shrestha,Hamro Nepali Party,1586,9
Suman Maharjan,Nepal Workers and Peasants Party,1552,9
Sunil Rijal,Independent,833,9
Sharmila Suwal (Dangol),Janata Samajwadi Party,792,9
Dr. Gyan Bahadur Basnet,Independent,314,9
Ramesh Thapa,Nepali Congress (BP),247,9
Bhai Raja Bhandari,Independent,151,9
Ujala Sthapit,Rastriya Janamukti Party,123,9
Rajendra Prasad Pathak,Independent,94,9
Uddav Rokka,Independent,82,9
Prajul Joshi,Loktantrik Samajwadi Party,81,9
Laxman Singh Khadka,Independent,64,9
Rachana Shrestha,Independent,60,9
Ganesh Thapa,Independent,31,9
Ram Kumar Rijal,Independent,31,9
Ambika Thapa,Maulik Jarokilo Party,23,9
Madhu Karki,Independent,22,9
